model,f1,auc_roc,precision,recall,accuracy
Random Forest,0.9995,0.9999,0.9998,0.9991,0.9989
XGBoost,0.9991,1.0,0.9983,0.9999,0.9983
MLP,0.9979,0.9995,1.0,0.9958,0.9959
BiLSTM,0.9978,0.9996,1.0,0.9957,0.9958
1D-CNN,0.9974,0.9994,1.0,0.9948,0.9949
Logistic Regression,0.9942,0.9979,0.9999,0.9885,0.9887
